TUCURUI	FURNAS	AVERMELHA	S.DO FACÃO	NOVA PONTE	SÃO SIMÃO	EMBORCAÇÃO	ITUMBIARA	CHAVANTES	CAPIVARA	TRÊS MARIAS	B. BONITA	SERRA DA MESA	IRAPE	ITAPARICA	SOBRADINHO	G. P. SOUZA	SALTO SANTIAGO	SANTA CLARA-PR	SEGREDO	G. B. MUNHOZ	MAUA	PASSO FUNDO	MACHADINHO	CAMPOS NOVOS	BARRA GRANDE
0.3235	0.4679	0.3142	0.2128	0.2223	0.4054	0.3327	0.2004	0.7119	0.6034	0.1609	0.5718	0.0934	0.1207	0.1448	0.0587	0.6219	0.692	0.3333	0.6005	0.4549	0.2571	0.9493	0.3514	0.2439	0.7481
0.271	0.4786	0.441	0.2202	0.257	0.4539	0.3574	0.214	0.5868	0.5678	0.2484	0.5464	0.0998	0.1595	0.1071	0.1254	0.6526	0.6176	0.2556	0.8184	0.5512	0.2288	0.8372	0.4372	0.51	0.5962
0.3696	0.4685	0.6617	0.2166	0.2811	0.557	0.3564	0.2008	0.6284	0.695	0.2854	0.8067	0.1008	0.154	0.242	0.1061	0.499	0.5524	0.5277	0.5385	0.5233	0.6727	0.787	0.4393	0.37	0.5415
0.7557	0.4495	0.7398	0.2377	0.3126	0.6449	0.3715	0.2202	0.588	0.8297	0.3265	0.9229	0.1224	0.2191	0.2288	0.1378	0.4815	0.4539	0.2676	0.8019	0.382	0.4766	0.7006	0.2536	0.5339	0.3281
0.9923	0.4197	0.7908	0.2483	0.3079	0.7076	0.3602	0.2298	0.6177	0.6448	0.3343	0.938	0.1355	0.2315	0.1519	0.1544	0.5644	0.3222	0.4024	0.3732	0.2957	0.1954	0.6453	0.1684	0.366	0.2774
1	0.4146	0.7838	0.2541	0.3038	0.6732	0.3495	0.2763	0.6729	0.6278	0.3192	0.9795	0.1437	0.2158	0.1865	0.1561	0.6767	0.4315	0.9633	0.6005	0.628	0.1582	0.8304	0.2656	0.54	0.2552
0.9938	0.4113	0.6528	0.2634	0.3045	0.5459	0.3416	0.3482	0.8035	0.9036	0.3032	0.9712	0.1384	0.1936	0.1865	0.1318	0.9611	0.8921	0.9289	0.9897	0.9391	0.1964	0.9692	0.9646	0.96	0.7444
0.9824	0.3698	0.5623	0.2604	0.2951	0.3766	0.3274	0.4199	0.8896	0.922	0.2692	0.9879	0.1256	0.1739	0.1755	0.1191	0.7212	0.8442	0.3816	0.7509	0.5474	0.7509	0.9957	0.9072	0.844	0.9607
0.9225	0.2736	0.5033	0.2578	0.2782	0.3298	0.3089	0.437	0.8413	0.8129	0.2273	0.8689	0.1093	0.1523	0.1702	0.1	0.5221	0.6128	0.358	0.5305	0.3684	0.4478	0.9808	0.6237	0.382	0.7034
0.823	0.1836	0.292	0.2501	0.2521	0.3307	0.2906	0.3013	0.7352	0.7509	0.1831	0.7593	0.0922	0.1294	0.1609	0.0777	0.3581	0.2212	0.1772	0.2571	0.2124	0.6692	0.9577	0.6029	0.392	0.519
0.5141	0.1117	0.1104	0.2593	0.2074	0.2437	0.2297	0.1406	0.481	0.4952	0.1343	0.5232	0.0768	0.1076	0.1739	0.0505	0.3983	0.3929	0.5804	0.6615	0.4211	0.9465	0.8226	0.2876	0.128	0.3247
0.3153	0.0967	0.1613	0.2441	0.1448	0.1406	0.1306	0.0835	0.3817	0.4171	0.0818	0.5196	0.0643	0.0831	0.1448	0.0284	0.3539	0.6643	0.9993	0.6188	0.6063	0.6246	0.8323	0.313	0.1659	0.3184
0.236	0.1136	0.2064	0.2622	0.1219	0.155	0.1039	0.107	0.4775	0.8428	0.0779	0.538	0.0593	0.0662	0.1051	0.0271	0.5752	0.6198	1.0541	0.5843	0.5209	0.3756	0.8333	0.2228	0.264	0.3059
0.3518	0.2106	0.5273	0.3118	0.1454	0.5075	0.1288	0.1632	0.5797	0.8297	0.1775	0.5756	0.0892	0.1582	0.1302	0.0909	0.8723	0.9038	1.0194	0.6188	0.8907	0.3486	0.7568	0.1856	0.736	0.3637
0.5078	0.2598	0.5602	0.3519	0.1788	0.8117	0.1437	0.2969	0.7168	0.8567	0.2594	0.755	0.1023	0.1686	0.1105	0.1384	0.8615	0.8926	0.4679	0.5924	0.8035	0.1683	0.7363	0.7919	1	0.6244
0.9808	0.3204	0.7158	0.4146	0.2077	0.8481	0.1649	0.4004	0.6744	0.9784	0.3488	0.7926	0.1408	0.3209	0.2032	0.2171	0.9541	0.7977	0.6245	0.8246	0.7544	0.2865	0.6835	0.6362	0.448	0.5394
0.9915	0.3325	0.7978	0.4868	0.2271	0.8653	0.2096	0.504	0.7315	0.9934	0.4565	0.9616	0.1809	0.3895	0.1755	0.328	0.87	0.7945	0.4469	0.6473	0.719	0.4334	0.6055	0.5011	0.63	0.4457
0.9946	0.3349	0.5591	0.5239	0.2329	0.8603	0.2207	0.6319	0.7681	0.9376	0.4834	0.8951	0.2127	0.407	0.2437	0.3808	0.7179	0.5856	0.2731	0.4647	0.5246	NA	0.5313	0.391	0.616	0.3963
0.9946	0.3311	0.4461	0.5263	0.2304	0.6864	0.2197	0.6888	0.7391	0.8476	0.4816	0.8521	0.2222	0.3931	0.2141	0.3666	0.5801	0.4394	0.6791	0.4747	0.4693	NA	0.4826	0.2492	0.47	0.3762
0.9908	0.2773	0.3818	0.5354	0.2273	0.5883	0.2124	0.6324	0.7303	0.7934	0.4618	0.8243	0.2157	0.3757	0.2085	0.3431	0.3795	0.3528	0.6431	0.3732	0.3214	NA	0.4693	0.4413	0.492	0.5074
0.9447	0.2296	0.2238	0.4804	0.2093	0.6369	0.2299	0.4057	0.597	0.6206	0.4283	0.7829	0.2043	0.3545	0.2215	0.3155	0.2299	0.24	0.3295	0.2611	0.2219	NA	0.4485	0.7218	0.284	0.6898
0.7458	0.1743	0.1969	0.4109	0.1807	0.4751	0.2365	0.2746	0.4332	0.5499	0.39	0.7434	0.1862	0.3332	0.2158	0.2875	0.2399	0.223	0.4119	0.3555	0.2496	NA	0.4034	0.6278	0.526	0.5488
0.5489	0.1502	0.1209	0.3447	0.1635	0.1837	0.1733	0.2328	0.3536	0.4269	0.3514	0.6811	0.155	0.3058	0.2215	0.2543	0.4001	0.4623	0.8351	0.7082	0.8786	NA	0.5216	0.8069	0.592	0.7901
0.3465	0.1897	0.2566	0.2819	0.1523	0.2775	0.1376	0.1141	0.2431	0.5425	0.3263	0.5408	0.1168	0.2442	0.2308	0.2217	0.3903	0.6924	0.2791	0.4607	0.6848	NA	0.6107	0.8105	0.638	0.7746
0.2945	0.2704	0.3152	0.295	0.2053	0.4529	0.1882	0.1762	0.1685	0.5459	0.4279	0.5842	0.1086	0.2503	0.2682	0.2404	0.41	0.5507	0.2571	0.3417	0.5262	NA	0.6871	0.5555	0.3219	0.7738
0.3456	0.2785	0.2326	0.2968	0.2467	0.2732	0.2383	0.2998	0.176	0.4458	0.522	0.5187	0.1344	0.3134	0.3252	0.3503	0.4162	0.4279	0.4833	0.1806	0.3012	NA	0.6817	0.6708	0.444	0.586
0.4204	0.2886	0.2098	0.3199	0.2441	0.4054	0.2588	0.2546	0.1492	0.2919	0.5732	0.5306	0.1239	0.2984	0.3176	0.3666	0.3808	0.3475	0.7337	0.3083	0.2957	NA	0.6158	0.4682	0.234	0.3379
0.6636	0.4245	0.2701	0.3124	0.2684	0.7501	0.2926	0.2017	0.1839	0.1966	0.6364	0.6408	0.1299	0.3053	0.3793	0.3741	0.4062	0.3532	0.673	0.4009	0.4559	NA	0.5264	0.4353	0.292	0.3043
0.9892	0.4851	0.4062	0.363	0.3643	0.8461	0.3634	0.2584	0.2908	0.3671	0.7654	0.8769	0.1681	0.3123	0.4184	0.4215	0.2812	0.3189	0.5792	0.4567	0.474	NA	0.4833	0.5793	0.532	0.3209
0.9923	0.5118	0.5827	0.3758	0.4043	0.7865	0.3901	0.3635	0.3349	0.4303	0.812	0.8723	0.2175	0.3191	0.3195	0.4886	0.3539	0.4623	1.1059	0.9917	0.6959	NA	0.4138	0.3299	0.598	0.3433
0.9969	0.5047	0.5881	0.3677	0.4348	0.7935	0.4135	0.4442	0.3735	0.4399	0.8321	0.9357	0.2287	0.3049	0.3404	0.4763	0.602	0.8916	0.9038	0.8659	0.9618	NA	0.5485	0.9742	0.966	0.9575
